GEOID,unemployment_2019,unemployment_2020,delta_unemployment,state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
01001,0.02726841429904191,0.0514276353509706,0.02415922105192869,Alabama,Autauga County,19838,7503,27770,12335,0.714368023046453,0.27018365142239825,0.4441843716240547
01003,0.027258296245177397,0.058839235085595416,0.031580938840418016,Alabama,Baldwin County,83544,24578,109679,58966,0.7617137282433283,0.22409029987509005,0.5376234283682382
01005,0.03790733545502469,0.06882687937585677,0.030919543920832078,Alabama,Barbour County,5622,4816,10518,806,0.5345122646891044,0.45788172656398557,0.07663053812511883
01007,0.03059178013837311,0.0686505456468439,0.038058765508470795,Alabama,Bibb County,7525,1986,9595,5539,0.7842626367899947,0.20698280354351226,0.5772798332464825
01009,0.0266863173408427,0.04236241828081041,0.01567610093996771,Alabama,Blount County,24711,2640,27588,22071,0.8957155284906481,0.09569377990430622,0.8000217485863419
01011,0.03637275588916946,0.056238834684622784,0.019866078795453324,Alabama,Bullock County,1146,3446,4613,-2300,0.24842835464990246,0.7470192933015392,-0.49859093865163673
01013,0.036523929471032744,0.0867821092934215,0.05025817982238876,Alabama,Butler County,5458,3965,9488,1493,0.5752529510961214,0.4178962900505902,0.1573566610455312
01015,0.03537917465424241,0.07490396102115159,0.039524786366909176,Alabama,Calhoun County,35101,15216,50983,19885,0.6884843967597042,0.29845242531824334,0.39003197144146085
01017,0.02933628248342426,0.06807944725256808,0.038743164769143815,Alabama,Chambers County,8753,6365,15284,2388,0.5726903951845067,0.41644857367181365,0.15624182151269306
01019,0.029142668371084274,0.04682274247491639,0.017680074103832117,Alabama,Cherokee County,10583,1624,12301,8959,0.8603365580034144,0.13202178684659785,0.7283147711568165
01021,0.02713851406753933,0.051768685112979745,0.024630171045440415,Alabama,Chilton County,16085,3073,19310,13012,0.8329880890730191,0.1591403417918177,0.6738477472812014
01023,0.04672863846414617,0.06785816006835658,0.021129521604210416,Alabama,Choctaw County,4296,3127,7464,1169,0.5755627009646302,0.41894426580921756,0.15661843515541268
01025,0.057746168265519905,0.09030152639919926,0.03255535813367936,Alabama,Clarke County,7324,5755,13135,1569,0.5575942139322421,0.4381423677198325,0.11945184621240956
01027,0.02996981163003538,0.040330225944066996,0.010360414314031615,Alabama,Clay County,5601,1267,6930,4334,0.8082251082251082,0.18282828282828284,0.6253968253968254
